               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.031856,            0.046758,                   0,             0.84476,             0.84615,             0.84316,             0.27713,            0.050822,            0.052361,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.033112,            0.046364,                   0,             0.88853,             0.89011,             0.88336,             0.31132,            0.047127,            0.050022,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.032091,            0.046823,                   0,             0.87917,             0.89011,             0.88665,              0.2954,            0.048207,            0.049417,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.032131,            0.044361,                   0,             0.92965,             0.93407,             0.92352,             0.32262,            0.046556,            0.049048,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.032292,            0.046803,                   0,             0.94221,             0.94505,             0.95626,             0.30872,             0.04763,            0.049318,                   0,            0.007096,            0.007096,            0.007096
                  90,             0.03199,            0.044662,                   0,             0.87821,             0.87912,             0.86629,             0.28318,            0.050007,            0.050464,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.030978,            0.044023,                   0,             0.91033,             0.91209,             0.91458,             0.30989,             0.04817,            0.050048,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.031477,            0.044705,                   0,              0.8717,             0.87912,             0.88641,             0.32211,            0.047415,            0.048851,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.031609,            0.043868,                   0,             0.86685,             0.86813,             0.84238,             0.30326,            0.049109,            0.052473,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.031393,            0.045505,                   0,             0.85057,             0.87912,             0.85442,             0.25141,            0.050986,            0.052091,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.032341,            0.043302,                   0,             0.93183,             0.92308,             0.93864,             0.31548,            0.047853,             0.05161,                   0,            0.006898,            0.006898,            0.006898
                  96,             0.03248,            0.044138,                   0,             0.83307,             0.83516,             0.78575,             0.27233,            0.051723,            0.051001,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.030072,            0.045629,                   0,             0.88916,             0.89011,             0.88298,              0.3083,            0.048945,            0.052043,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.030267,            0.041872,                   0,             0.85489,             0.85714,             0.80752,             0.28047,            0.049839,            0.053211,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.030501,            0.044687,                   0,             0.84622,             0.85714,             0.82694,             0.29494,            0.048513,            0.053224,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.030233,            0.042139,                   0,             0.88877,             0.89011,             0.86323,             0.28066,            0.050214,            0.051498,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.029548,            0.041264,                   0,             0.92179,             0.92308,             0.92972,             0.29335,            0.049382,            0.053168,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.031219,            0.041547,                   0,              0.8449,             0.84615,             0.78169,             0.28162,            0.050015,            0.051421,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.030455,            0.043614,                   0,              0.8234,             0.82418,             0.78824,               0.283,            0.051748,            0.053473,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.029417,            0.041253,                   0,             0.86767,             0.86468,             0.83775,             0.28559,            0.049445,            0.051867,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.028946,            0.042345,                   0,             0.86809,              0.8678,             0.84819,             0.29372,             0.04889,            0.052056,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.030173,              0.0417,                   0,             0.88955,             0.89011,              0.9083,             0.30453,            0.048905,            0.052623,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.028879,            0.041193,                   0,             0.90016,              0.9011,             0.87097,             0.29988,            0.049863,            0.052164,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.030392,            0.039592,                   0,             0.91102,             0.91209,             0.91715,              0.2979,            0.048446,            0.053524,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.029251,            0.042513,                   0,             0.87849,             0.87912,             0.84308,             0.29991,            0.049302,            0.053172,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.030254,            0.043106,                   0,             0.90095,              0.8996,             0.87918,             0.31864,            0.048107,            0.051825,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.029648,             0.04115,                   0,              0.8012,              0.8022,             0.72292,             0.26915,            0.051518,            0.052155,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.029905,            0.041309,                   0,             0.92212,             0.92308,             0.91427,             0.31183,             0.04802,            0.054605,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.028249,             0.03991,                   0,             0.80062,              0.8022,             0.75776,             0.26956,            0.052615,            0.054987,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.029381,            0.038791,                   0,              0.9105,             0.91209,             0.87759,              0.3024,            0.049374,            0.054254,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.028569,            0.040389,                   0,             0.85651,             0.85714,             0.83429,             0.30366,            0.048186,            0.056511,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.028012,             0.04197,                   0,             0.88906,             0.89011,             0.89993,             0.32411,            0.048543,            0.054417,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.027874,             0.03964,                   0,             0.91115,             0.91209,             0.87886,             0.29537,            0.049138,            0.053897,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.028441,            0.040948,                   0,             0.82557,             0.82418,             0.77162,             0.25716,            0.051814,            0.056871,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.028065,             0.04169,                   0,             0.92089,             0.92308,             0.90927,              0.2974,             0.04873,            0.056138,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.027166,            0.040253,                   0,             0.82851,             0.83516,             0.78995,             0.28465,            0.050943,             0.05673,                   0,            0.006073,            0.006073,            0.006073
                 121,             0.02783,            0.039191,                   0,             0.91119,             0.91209,             0.89322,             0.29975,            0.049013,            0.054618,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.027857,             0.04024,                   0,             0.91105,             0.91209,             0.91422,             0.32254,            0.047574,            0.053468,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.028218,            0.039145,                   0,             0.90002,              0.9011,             0.89143,              0.3075,            0.048667,            0.053374,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.028218,            0.040241,                   0,             0.91115,             0.91209,             0.90454,             0.29808,            0.049359,            0.054108,                   0,            0.005941,            0.005941,            0.005941
